Date,Order,Num-Forecast,neg_ASEAN,pos_ASEAN,neu_ASEAN,Topic_probability_ASEAN,Topic-wise_Values_ASEAN,tsf_lr_neg_ASEAN,tsf_lr_neu_ASEAN,tsf_lr_pos_ASEAN,neg_technology,pos_technology,neu_technology,Topic_probability_technology,Topic-wise_Values_technology,tsf_lr_neg_technology,tsf_lr_neu_technology,tsf_lr_pos_technology,neg_fuel,pos_fuel,neu_fuel,Topic_probability_fuel,Topic-wise_Values_fuel,tsf_lr_neg_fuel,tsf_lr_neu_fuel,tsf_lr_pos_fuel,neg_stock,pos_stock,neu_stock,Topic_probability_stock,Topic-wise_Values_stock,tsf_lr_neg_stock,tsf_lr_neu_stock,tsf_lr_pos_stock,neg_market,pos_market,neu_market,Topic_probability_market,Topic-wise_Values_market,tsf_lr_neg_market,tsf_lr_neu_market,tsf_lr_pos_market,neg_Equipment,pos_Equipment,neu_Equipment,Topic_probability_Equipment,Topic-wise_Values_Equipment,tsf_lr_neg_Equipment,tsf_lr_neu_Equipment,tsf_lr_pos_Equipment
2019-12,508.5262445,501.2,0.24024211,0.39719442,0.019746538,0.642226517,0.200983081,0.000441043,8.84E-05,0.054001799,0.106290345,0.68125105,0.015006783,0.657322377,0.185833331,8.74E-05,5.29E-05,0.997387922,0.123650103,0.733353525,0.017739572,0.621028394,0.1750067,7.69E-05,0.000125847,0.999381176,0.1370278,0.531354475,0.04034776,0.72304526,0.129620295,3.18E-05,0.000117618,0.676852149,0.23712184,0.43754795,0.013899177,0.718097538,0.132756458,0.00320752,0.000121232,0.136998476,,,,,,,,
2020-01,546.9969523,540.03,0.15738029,0.6401802,0.013592869,0.611441612,0.217619179,0.000207272,3.25E-05,0.987574441,0.13498129,0.55327748,0.014706302,0.648773343,0.167430039,0.000319415,0.000106261,0.894755547,0.15852672,0.71761495,0.015209836,0.685464084,0.190387185,0.000175096,8.82E-05,0.999311072,0.15982407,0.46332303,0.016278984,0.749967277,0.126064141,0.000148173,0.000169855,0.581895157,0.19656971,0.60503346,0.01472803,0.799016535,0.13128517,0.00027124,0.000142124,0.972732518,0.49435177,0.4805752,0.009783817,0.542988181,0.207683677,0.480079291,0.00013189,0.389197028
2020-02,430.1121784,424.48,0.117640843,0.33065815,0.025639779,0.640232951,0.229296796,8.31E-05,0.000203102,0.012196574,0.14352096,0.61918277,0.018506613,0.698134035,0.168648046,0.000270813,0.000110046,0.980611231,0.178705075,0.703698025,0.017755079,0.731991112,0.175389213,0.000133221,0.000175725,0.998075844,0.169441215,0.7131202,0.014511212,0.754686624,0.126232827,3.50E-05,5.87E-05,0.998881397,0.2021401,0.55990314,0.014011076,0.801775575,0.150959307,0.000253018,8.61E-05,0.900862366,0.6077526,0.36801094,0.009583716,0.529883802,0.175424467,0.971023464,0.001576657,0.017149079
2020-03,475.6312679,468.51,0.08901459,0.65047435,0.02195907,0.545994163,0.201083251,2.76E-05,0.000173595,0.986525158,0.152098635,0.6169191,0.011211695,0.741739392,0.16767072,0.000164307,0.000174372,0.977158865,0.152965305,0.676260925,0.013260391,0.599717915,0.215760599,9.57E-05,9.54E-05,0.996843323,0.15982407,0.7041716,0.014637533,0.743566453,0.118677316,4.17E-05,9.56E-05,0.99905965,0.149617513,0.68069965,0.014695991,0.666037947,0.127095069,0.000273439,0.000157637,0.994454063,,,,,,,,
2020-04,616.3756139,609.39,0.1496473,0.71319103,0.013226475,0.57767868,0.195917528,2.29E-05,6.45E-05,0.998126206,0.17380725,0.738038,0.011541365,0.675617099,0.165752166,0.00033251,2.48E-05,0.999470712,0.096640555,0.66195392,0.014399772,0.627640516,0.211801676,6.86E-05,0.000306546,0.99374867,0.2526699,0.4078126,0.013306256,0.798073411,0.07816842,0.00135692,0.000289297,0.063907253,0.150001766,0.23585359,0.025136195,0.586686641,0.212940963,0.000158934,0.0001212,0.004275716,0.12497171,0.86183876,0.013189707,0.326037556,0.249007061,7.30E-06,1.78E-05,0.999974895
2020-05,524.2169549,518.56,0.18074142,0.52763875,0.013687723,0.640784145,0.233438767,0.000195982,5.08E-05,0.703979037,0.16317713,0.6115787,0.013285238,0.695017695,0.123677727,0.000527827,0.000278866,0.974393106,0.1303226,0.726131,0.015316321,0.633229196,0.208484717,4.70E-05,8.04E-05,0.998782857,0.13602976,0.52488628,0.023196702,0.794230372,0.118824187,0.000124932,0.000161011,0.854083271,0.13045628,0.62309563,0.01472803,0.792819977,0.160882825,6.24E-05,0.000143346,0.982479775,,,,,,,,
2020-06,585.0344164,576.19,0.14710732,0.7742186,0.014656908,0.557838232,0.221446312,4.10E-05,6.85E-05,0.999744506,0.14131796,0.5513656,0.013452981,0.738926888,0.170397863,3.27E-05,4.54E-05,0.875949011,0.17210388,0.75390404,0.015020478,0.647274911,0.21953813,3.32E-05,4.26E-05,0.999661065,0.09620318,0.567555675,0.017539915,0.747745127,0.139740728,3.30E-05,9.56E-05,0.932353598,0.228751485,0.46865073,0.010746327,0.873036415,0.129495192,0.000208271,9.13E-05,0.301949253,,,,,,,,
2020-07,585.5887177,577.72,0.060619512,0.09445941,0.4504239,0.622302413,0.262244135,4.85E-05,0.440656256,2.18E-05,0.178623535,0.736631075,0.010659273,0.716749222,0.140769084,7.96E-05,9.46E-05,0.999203457,0.08701406,0.80926232,0.014123894,0.652814478,0.271103708,2.12E-05,2.23E-05,0.999906301,0.107787654,0.50134975,0.027526265,0.739404738,0.130551822,5.98E-05,0.000210192,0.563603684,0.16497141,0.7948486,0.024325155,0.852143824,0.1173737,6.97E-05,5.26E-05,0.999877725,0.09284975,0.89411885,0.013031243,0.416895151,0.307564605,2.46E-06,9.92E-06,0.999987621
2020-08,599.7100724,589.9,0.14363082,0.63353866,0.01436801,0.622231841,0.195887165,0.000216057,5.49E-05,0.995707681,0.090653933,0.6115787,0.017588632,0.668218345,0.200399797,9.27E-05,0.000331573,0.974393106,0.109600306,0.8462524,0.025054395,0.639438868,0.245269357,7.32E-06,2.68E-05,0.999964657,0.10410589,0.48142242,0.01814665,0.772665799,0.147789176,5.22E-05,0.00010063,0.406294952,0.20756818,0.624695,0.013089722,0.808463514,0.124886765,0.000110835,0.000143346,0.982479775,,,,,,,,
2020-09,596.0852742,585.03,0.06265261,0.23327982,0.05277679,0.738411546,0.24595926,0.000197447,0.000190683,0.00177209,0.18742111,0.6765099,0.016936565,0.769893348,0.15734115,0.000364739,7.06E-05,0.996631953,0.17595693,0.766302035,0.015469074,0.648581088,0.204564069,9.45E-05,7.41E-05,0.999766687,0.2098849,0.3454287,0.014450156,0.645727396,0.11065383,0.000632106,0.00013752,0.018161175,0.08593875,0.8425423,0.029458223,0.853723764,0.155814706,6.39E-06,3.59E-05,0.999953237,,,,,,,,
