Date,Order,neg_market,pos_market,neu_market,Topic_probability_market,Topic-wise_Values_market,tsf_lr_neg_market,tsf_lr_neu_market,tsf_lr_pos_market,neg_energy,pos_energy,neu_energy,Topic_probability_energy,Topic-wise_Values_energy,tsf_lr_neg_energy,tsf_lr_neu_energy,tsf_lr_pos_energy,neg_semiconductor,pos_semiconductor,neu_semiconductor,Topic_probability_semiconductor,Topic-wise_Values_semiconductor,tsf_lr_neg_semiconductor,tsf_lr_neu_semiconductor,tsf_lr_pos_semiconductor,neg_technology,pos_technology,neu_technology,Topic_probability_technology,Topic-wise_Values_technology,tsf_lr_neg_technology,tsf_lr_neu_technology,tsf_lr_pos_technology
1/12/2021 0:00,674.23,0.007168698,0.24182011,0.7564087,0.656275272,0.302922154,1.92E-05,0.999754862,0.000209177,0.010197782,0.57966575,0.219383965,0.661656439,0.2378671,4.88E-05,0.000468646,0.918751794,0.009785445,0.21098077,0.14538585,0.758991122,0.349283911,2.15E-05,2.20E-05,0.000199672,0.008939198,0.47130255,0.51414455,0.759024352,0.291089852,1.75E-05,0.50025897,0.499476166
1/1/2022 0:00,649.00,0.012492596,0.165934565,0.242419885,0.613583535,0.293900321,4.41E-05,0.000841287,0.000237564,0.010002645,0.7137605,0.18298546,0.716578513,0.251670111,3.97E-05,9.29E-05,0.998629572,0.014979022,0.3171917,0.2388674,0.648228407,0.294195449,0.000240668,0.000390017,0.00314301,0.008972332,0.858537,0.13249059,0.885190368,0.24028384,2.73E-05,1.12E-05,0.9999133
1/2/2022 0:00,663.87,0.010809335,0.27265778,0.17465542,0.731761515,0.293585479,7.66E-05,6.73E-05,0.001209807,0.010060902,0.2342557,0.30275809,0.711417437,0.2600299,4.48E-05,0.003649293,0.002245979,0.010883911,0.508555115,0.198943495,0.628134549,0.299396307,0.000102498,0.000105353,0.528659178,0.006279661,0.77222973,0.21400352,0.716596067,0.251121484,2.13E-05,0.000151594,0.99961589
1/3/2022 0:00,795.02,0.006175759,0.375974045,0.32300785,0.616469264,0.299604193,5.48E-05,0.007878411,0.039739538,0.008653374,0.17742188,0.29052517,0.70636034,0.272720465,3.19E-05,0.003466666,0.000956568,0.017573422,0.1349132,0.2018163,0.739024073,0.330000062,3.52E-05,0.00060465,0.00021084,0.001856728,0.031089906,0.96136945,0.720287204,0.342450079,1.17E-06,0.999998462,3.69E-07
1/4/2022 0:00,650.28,0.006347607,0.6947666,0.29441088,0.564369112,0.320007865,2.93E-05,0.002205045,0.997278674,0.008548833,0.7145296,0.14578249,0.668305695,0.283230714,3.58E-05,2.39E-05,0.998513076,0.008774254,0.27845477,0.569395865,0.623033702,0.323301539,3.00E-05,0.805559124,0.004641988,0.007606507,0.09230728,0.10697192,0.809866905,0.259928044,5.35E-05,9.71E-06,0.000341755
1/5/2022 0:00,667.06,0.007673074,0.128265655,0.139187335,0.609086841,0.312417933,3.38E-05,3.73E-05,0.000363778,0.008275953,0.54045564,0.19997445,0.706499696,0.268232765,3.57E-05,0.000147964,0.800771566,0.010705647,0.227385695,0.429318755,0.76596567,0.337302699,2.52E-05,0.210645675,0.005202994,0.099762976,0.23374915,0.53527516,0.90920645,0.173406145,0.000319999,0.949662532,0.001643521
1/6/2022 0:00,817.35,0.008944378,0.8565149,0.13434315,0.639675677,0.311556627,2.80E-05,1.32E-05,0.999924352,0.010052139,0.61188084,0.18490304,0.720963299,0.265221555,4.21E-05,0.000144491,0.973328233,0.007278673,0.8884776,0.10410447,0.646231949,0.346610235,2.49E-05,4.95E-06,0.999952673,0.008780509,0.14451796,0.5410694,0.86251533,0.204668429,4.81E-05,0.823164185,0.000424107
1/7/2022 0:00,783.67,0.010439137,0.4802995,0.3228948,0.629228294,0.274859086,9.06E-05,0.005660553,0.424227674,0.010506852,0.48046593,0.17408896,0.673121661,0.263341231,3.91E-05,4.41E-05,0.499190479,0.008083466,0.6831586,0.124846555,0.745838821,0.322464026,4.95E-05,1.73E-05,0.996773046,0.007911341,0.879145885,0.112921625,0.593243778,0.268123432,5.33E-05,6.02E-06,0.999936135
1/8/2022 0:00,688.72,0.007754823,0.6127389,0.2352954,0.630470634,0.256965728,4.77E-05,0.000322659,0.970891264,0.008666014,0.39921946,0.22477871,0.735317469,0.261984434,3.36E-05,0.000384188,0.06719295,0.008862061,0.18209042,0.22775947,0.701323569,0.345192592,2.67E-05,0.000252515,0.001965601,0.006569728,0.90522209,0.066950268,0.554863334,0.289583677,4.08E-05,2.43E-06,0.999956466
1/9/2022 0:00,814.57,0.008587114,0.55466384,0.12113139,0.641593248,0.314364871,5.11E-05,1.42E-05,0.797860753,0.012268403,0.14449401,0.30010915,0.695492506,0.254497319,5.06E-05,0.002420085,0.001632457,0.007405409,0.81785868,0.1624249,0.691156447,0.332750522,3.75E-05,3.18E-05,0.999849188,0.009855531,0.81710804,0.13681199,0.728298008,0.241117614,9.66E-05,1.67E-05,0.999824544
1/10/2022 0:00,853.16,0.009113729,0.41000736,0.1602896,0.562545031,0.297036084,4.64E-05,5.78E-05,0.051566986,0.008320075,0.40903166,0.21412642,0.743054926,0.254827976,3.16E-05,0.00015205,0.059988569,0.008360673,0.7555146,0.18190181,0.774947822,0.332803189,2.87E-05,7.48E-05,0.999444041,0.004822002,0.531611225,0.462333782,0.802232653,0.296658195,1.71E-05,0.499992914,0.499989207
1/11/2022 0:00,768.99,0.011439978,0.7382713,0.1370477,0.78912276,0.304525189,0.000106305,3.15E-05,0.999134356,0.009083153,0.65714073,0.23091368,0.690122485,0.245408574,4.87E-05,0.000263878,0.99267659,0.012374032,0.2959242,0.226680885,0.781033188,0.342033677,3.49E-05,0.000477912,0.019677615,0.011673642,0.809267775,0.169071215,0.810364902,0.214897389,0.000147046,5.07E-05,0.999802222
1/12/2022 0:00,737.45,0.009785828,0.612662325,0.21237448,0.645643115,0.302167347,4.33E-05,0.000212293,0.912180354,0.0093378,0.28898126,0.175271415,0.714458823,0.267536455,4.86E-05,6.67E-05,0.002830538,0.010424677,0.1298121,0.2459298,0.733864486,0.323460513,2.68E-05,0.00109595,0.000450091,0.048084218,0.021985946,0.2139427,0.748983741,0.250253178,0.000238145,0.000145804,0.0004757
1/1/2023 0:00,744.19,0.008667233,0.5507818,0.167671425,0.735928118,0.29406932,3.84E-05,8.53E-05,0.556203934,0.008529244,0.6709643,0.158410005,0.701234549,0.266213227,4.15E-05,2.97E-05,0.994978745,0.011396097,0.42233595,0.103005597,0.627567023,0.331037816,4.34E-05,7.51E-06,0.129849665,0.00773609,0.82117665,0.16812643,0.495931268,0.196041599,5.26E-05,3.43E-05,0.999832636
1/2/2023 0:00,645.73,0.01000777,0.35929537,0.15818425,0.741864741,0.305818555,2.90E-05,6.89E-05,0.024001025,0.007161542,0.74610689,0.162082755,0.71022889,0.290419043,2.68E-05,3.56E-05,0.999226736,0.008633063,0.38737047,0.212534645,0.686229348,0.323323954,4.47E-05,0.00016189,0.030962559,0.007083699,0.67662295,0.12512415,0.749271333,0.258338137,4.78E-05,1.36E-05,0.816924547
1/3/2023 0:00,749.46,0.006709394,0.24097263,0.32812422,0.671842515,0.304037984,2.54E-05,0.006698706,0.000843682,0.008609155,0.60451573,0.21787767,0.711876035,0.267588246,3.06E-05,0.000187286,0.967996372,0.007789183,0.63958743,0.272349515,0.690025687,0.337030538,3.29E-05,0.0046361,0.985981262,0.007152555,0.6619386,0.21164851,0.747762859,0.267433819,4.56E-05,0.000144195,0.993739983
1/4/2023 0:00,638.83,0.011501851,0.23057869,0.17222276,0.715520769,0.305002062,4.80E-05,0.000106449,0.00697532,0.008355994,0.38662738,0.22063607,0.70349431,0.270439487,3.21E-05,0.00033849,0.070707261,0.008355735,0.8189571,0.13036467,0.779312253,0.333026723,3.94E-05,1.28E-05,0.999851582,0.006480167,0.8002247,0.16567953,0.747242868,0.287931929,0.000101824,3.33E-05,0.999766013
1/5/2023 0:00,675.08,0.009386519,0.26495616,0.40329826,0.747597396,0.293587387,3.35E-05,0.100728946,0.002655289,0.009638796,0.448417365,0.2176862,0.711452127,0.255031244,4.18E-05,0.000202762,0.166956154,0.007744254,0.40852025,0.17914224,0.773653209,0.336195441,3.40E-05,9.45E-05,0.054531168,0.009210275,0.16958287,0.37584302,0.781694412,0.267373169,2.87E-05,0.027469399,0.001396819
1/6/2023 0:00,660.31,0.00762084,0.3842011,0.18316951,0.734022141,0.308972441,3.22E-05,0.00013255,0.019728868,0.00985132,0.406485225,0.18513573,0.697901487,0.263380117,4.79E-05,7.48E-05,0.048927508,0.008152734,0.41611129,0.200807785,0.741740763,0.344471456,2.57E-05,0.000135762,0.057585722,0.032499755,0.062520237,0.423611775,0.758559674,0.249964721,0.00013175,0.145141698,0.000158211
1/7/2023 0:00,693.18,0.008277156,0.45192085,0.25486971,0.734865785,0.305501942,4.67E-05,0.000650527,0.311332206,0.009788428,0.298572,0.20062093,0.692237318,0.27360923,3.66E-05,0.000110442,0.006458624,0.009074246,0.5620035,0.14757325,0.747220665,0.332480219,4.30E-05,3.11E-05,0.868918174,0.008802913,0.22549673,0.188145655,0.724822998,0.280045609,4.79E-05,0.0001761,0.001918928
1/8/2023 0:00,619.32,0.006486368,0.79133713,0.13502736,0.779171586,0.330395864,2.44E-05,2.64E-05,0.999753401,0.009108752,0.498738705,0.188579155,0.707895756,0.268749266,3.93E-05,8.59E-05,0.561162868,0.007238478,0.68550974,0.18785097,0.755074501,0.347952236,2.36E-05,0.000110488,0.996553784,0.009578822,0.54989624,0.1630633,0.79557839,0.25615869,4.86E-05,5.39E-05,0.828736592
1/9/2023 0:00,630.71,0.008650783,0.25051394,0.2248426,0.793179512,0.309252197,3.03E-05,0.000700054,0.002984454,0.008255819,0.59573135,0.175754975,0.699748963,0.266082342,4.20E-05,4.56E-05,0.961530639,0.007935641,0.67962985,0.179226,0.743583471,0.327936092,3.65E-05,6.56E-05,0.996442794,0.009800072,0.56564717,0.161335005,0.74178791,0.240800227,4.30E-05,4.79E-05,0.559375526
1/10/2023 0:00,638.61,0.007403632,0.3710592,0.31740153,0.816552281,0.307542741,2.53E-05,0.006751924,0.01832457,0.007718611,0.27293444,0.3540446,0.67856282,0.255075152,3.25E-05,0.013339938,0.00541577,0.006831603,0.268748775,0.32453543,0.773465097,0.333285985,3.27E-05,0.010606578,0.003756167,0.006543561,0.595587035,0.397844615,0.772683412,0.230517269,3.94E-05,0.046009306,0.951884995
1/11/2023 0:00,630.30,0.007510983,0.71367202,0.188885655,0.835371763,0.314335909,2.74E-05,9.91E-05,0.998455243,0.008055527,0.62408674,0.20884176,0.701575339,0.263333268,3.62E-05,0.000150691,0.983574653,0.007130444,0.7889411,0.16614726,0.777082503,0.340834159,2.98E-05,3.89E-05,0.999733823,0.008658556,0.533524525,0.23699015,0.779114038,0.256688672,3.90E-05,0.00057586,0.736918793
1/12/2023 0:00,604.94,0.008988547,0.45414646,0.234228115,0.730210304,0.309691962,2.77E-05,0.000518154,0.224845442,0.008128359,0.53845722,0.220364315,0.708806306,0.268295209,3.06E-05,0.000212417,0.792499794,0.008193367,0.53502545,0.2151276,0.69904846,0.327645811,3.51E-05,0.00017875,0.76976317,0.009089816,0.8531684,0.13745871,0.511200666,0.273225536,2.57E-05,1.25E-05,0.999908238
